Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
AMD,DEL,2018-11-01T05:35:00Z,05:35,07:20,11753.0,8900.0,2348.0,Jet Airways,7,13h 45m,Economy,685,9W,9W_685_9W_809_,False,2018-10-25
AMD,DEL,2018-11-01T05:35:00Z,05:35,07:20,11753.0,8900.0,2348.0,Jet Airways,7,15h 25m,Economy,685,9W,9W_685_9W_811_,False,2018-10-25
AMD,DEL,2018-11-01T05:35:00Z,05:35,07:20,11753.0,8900.0,2348.0,Jet Airways,7,16h 40m,Economy,685,9W,9W_685_9W_715_,True,2018-10-25
AMD,DEL,2018-11-01T05:35:00Z,05:35,07:20,11753.0,8900.0,2348.0,Jet Airways,7,18h 0m,Economy,685,9W,9W_685_9W_834_,True,2018-10-25
AMD,DEL,2018-11-01T05:35:00Z,05:35,07:20,13328.0,10400.0,2423.0,Jet Airways,7,5h 25m,Economy,685,9W,9W_685_9W_743_,False,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,3h 50m,Economy,2738,JK,9W_2738_9W_397_,False,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,5h 0m,Economy,411,9W,9W_411_9W_443_,False,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,5h 35m,Economy,2738,JK,9W_2738_9W_481_,False,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,5h 50m,Economy,411,9W,9W_411_9W_397_,False,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,13380.0,11050.0,1825.0,Jet Airways,7,6h 0m,Economy,315,9W,9W_315_9W_415_,False,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,7h 35m,Economy,411,9W,9W_411_9W_481_,False,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,13380.0,11050.0,1825.0,Jet Airways,7,7h 50m,Economy,315,9W,9W_315_9W_413_,False,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,13380.0,11050.0,1825.0,Jet Airways,7,9h 25m,Economy,315,9W,9W_315_9W_483_,False,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,9h 55m,Economy,2738,JK,9W_2738_9W_415_,False,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,13380.0,11050.0,1825.0,Jet Airways,7,10h 20m,Economy,315,9W,9W_315_9W_498_,False,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,11h 45m,Economy,2738,JK,9W_2738_9W_413_,False,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,11h 55m,Economy,411,9W,9W_411_9W_415_,False,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,13380.0,11050.0,1825.0,Jet Airways,7,12h 5m,Economy,315,9W,9W_315_9W_477_,False,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,13380.0,11050.0,1825.0,Jet Airways,7,13h 5m,Economy,315,9W,9W_315_9W_495_,False,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,13h 20m,Economy,2738,JK,9W_2738_9W_483_,True,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,13h 45m,Economy,411,9W,9W_411_9W_413_,True,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,14h 15m,Economy,2738,JK,9W_2738_9W_498_,True,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,15h 20m,Economy,411,9W,9W_411_9W_483_,True,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,16h 0m,Economy,2738,JK,9W_2738_9W_477_,True,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,16h 15m,Economy,411,9W,9W_411_9W_498_,True,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,13380.0,11050.0,1825.0,Jet Airways,7,17h 0m,Economy,2738,JK,9W_2738_9W_495_,True,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,18h 0m,Economy,411,9W,9W_411_9W_477_,True,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,13380.0,11050.0,1825.0,Jet Airways,7,19h 0m,Economy,411,9W,9W_411_9W_495_,True,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,13695.0,11350.0,1840.0,Jet Airways,7,18h 50m,Economy,330,9W,9W_330_9W_415_,True,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,13695.0,11350.0,1840.0,Jet Airways,7,23h 10m,Economy,330,9W,9W_330_9W_498_,True,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,13695.0,11350.0,1840.0,Jet Airways,7,24h 55m,Economy,330,9W,9W_330_9W_477_,True,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,13695.0,11350.0,1840.0,Jet Airways,7,25h 45m,Economy,913,9W,9W_913_9W_498_,True,2018-10-25
AMD,DEL,2018-11-01T15:35:00Z,15:35,17:15,15323.0,12300.0,2518.0,Jet Airways,7,5h 25m,Economy,655,9W,9W_655_9W_811_,False,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,16005.0,13550.0,1950.0,Jet Airways,7,4h 30m,Economy,913,9W,9W_913_9W_495_,False,2018-10-25
AMD,DEL,2018-11-01T07:10:00Z,07:10,08:45,16100.0,14950.0,895.0,Air India,4,5h 20m,Economy,18,AI,AI_18_AI_506_,False,2018-10-25
AMD,BOM,2018-11-01T04:00:00Z,04:00,05:15,42151.0,39106.0,2665.0,Air India,9,5h 25m,Economy,30,AI,AI_30_9W_443_,True,2018-10-25
AMD,BOM,2018-11-01T04:00:00Z,04:00,05:15,42151.0,39106.0,2665.0,Air India,9,6h 15m,Economy,30,AI,AI_30_9W_397_,True,2018-10-25
Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
